optype,opset,inputs,outputs,attr1,attr1,attr1,attr2,attr2,attr2,attr3,attr3,attr3,attr4,attr4,attr4,attr5,attr5,attr5,attr6,attr6,attr6,attr7,attr7,attr7,attr8,attr8,attr8,attr9,attr9,attr9,attr10,attr10,attr10
op_type,opset,inputs,outputs,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default
MaxPool,12,1,2,auto_pad,str,NOTSET,ceil_mode,int64,0,dilations,int64[],,kernel_shape,int64[],,pads,int64[],,storage_order,int64,0,strides,int64[],,,,,,,,,,
MaxPool,11,1,2,auto_pad,str,NOTSET,ceil_mode,int64,0,dilations,int64[],,kernel_shape,int64[],,pads,int64[],,storage_order,int64,0,strides,int64[],,,,,,,,,,
MaxPool,10,1,2,auto_pad,str,NOTSET,ceil_mode,int64,0,dilations,int64[],,kernel_shape,int64[],,pads,int64[],,storage_order,int64,0,strides,int64[],,,,,,,,,,
MaxPool,8,1,2,auto_pad,str,NOTSET,kernel_shape,int64[],,pads,int64[],,storage_order,int64,0,strides,int64[],,,,,,,,,,,,,,,,
MaxPool,1,1,1,auto_pad,str,NOTSET,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,,,,,,,
MaxRoiPool,1,2,1,pooled_shape,int64[],,spatial_scale,float32,1,,,,,,,,,,,,,,,,,,,,,,,,
MaxUnpool,11,3,1,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,,,,,,,,,,
MaxUnpool,9,3,1,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,,,,,,,,,,
Mean,13,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,8,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,6,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,1,inf,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,13,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,12,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,8,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,6,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,1,inf,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mod,13,2,1,fmod,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mod,10,2,1,fmod,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mul,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mul,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mul,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mul,6,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Mul,1,2,1,axis,int64,,broadcast,int64,0,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,
Multinomial,7,1,1,dtype,int64,6,sample_size,int64,1,seed,float32,,,,,,,,,,,,,,,,,,,,,,
Neg,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neg,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neg,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NonMaxSuppression,11,5,1,center_point_box,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
